Stock,Price,% Change,RSI,MACD Hist,MACD Signal,RSI Signal,UT Bot,Chart
TATAELXSI.NS,4501.4,-1.98,54.1,59.266,---,---,---,https://in.tradingview.com/symbols/NSE:TATAELXSI/
WOCKPHARMA.NS,1383.0,-0.88,61.7,18.704,---,---,---,https://in.tradingview.com/symbols/NSE:WOCKPHARMA/
ZEEL.NS,81.75,0.88,55.0,1.195,---,Sell,---,https://in.tradingview.com/symbols/NSE:ZEEL/
ADANIGREEN.NS,1135.95,0.77,77.3,26.859,---,---,---,https://in.tradingview.com/symbols/NSE:ADANIGREEN/
AMBUJACEM.NS,457.65,-0.29,54.3,7.527,---,---,---,https://in.tradingview.com/symbols/NSE:AMBUJACEM/
AUROPHARMA.NS,1381.0,-0.36,68.3,2.472,---,---,---,https://in.tradingview.com/symbols/NSE:AUROPHARMA/
BAJAJHLDNG.NS,10388.5,0.32,60.2,172.253,---,---,---,https://in.tradingview.com/symbols/NSE:BAJAJHLDNG/
BANDHANBNK.NS,175.36,0.51,61.1,2.881,---,---,---,https://in.tradingview.com/symbols/NSE:BANDHANBNK/
BERGEPAINT.NS,474.55,1.27,67.2,7.272,---,---,---,https://in.tradingview.com/symbols/NSE:BERGEPAINT/
COLPAL.NS,2115.7,0.46,65.1,37.212,---,---,---,https://in.tradingview.com/symbols/NSE:COLPAL/
DABUR.NS,440.35,-0.56,49.2,5.098,---,---,---,https://in.tradingview.com/symbols/NSE:DABUR/
DLF.NS,594.95,-1.13,59.4,10.575,---,---,---,https://in.tradingview.com/symbols/NSE:DLF/
GODREJCP.NS,1108.2,-0.11,57.8,15.384,---,---,---,https://in.tradingview.com/symbols/NSE:GODREJCP/
HDFCLIFE.NS,609.65,-1.1,44.8,7.021,---,---,---,https://in.tradingview.com/symbols/NSE:HDFCLIFE/
HINDPETRO.NS,369.4,-0.39,52.1,7.145,---,---,---,https://in.tradingview.com/symbols/NSE:HINDPETRO/
ICICIPRULI.NS,554.15,-1.4,46.7,7.479,---,---,---,https://in.tradingview.com/symbols/NSE:ICICIPRULI/
IDEA.NS,9.59,-0.21,53.8,0.156,---,---,---,https://in.tradingview.com/symbols/NSE:IDEA/
IGL.NS,168.06,-0.71,63.6,2.745,---,---,---,https://in.tradingview.com/symbols/NSE:IGL/
INDIGO.NS,4619.9,-0.4,55.9,62.351,---,---,---,https://in.tradingview.com/symbols/NSE:INDIGO/
LUPIN.NS,2335.1,0.39,56.5,0.747,---,Sell,---,https://in.tradingview.com/symbols/NSE:LUPIN/
MANAPPURAM.NS,268.25,-0.24,51.6,2.4,---,---,---,https://in.tradingview.com/symbols/NSE:MANAPPURAM/
MARICO.NS,759.55,0.3,52.0,1.748,---,---,---,https://in.tradingview.com/symbols/NSE:MARICO/
NHPC.NS,82.94,-0.74,70.3,0.809,---,---,---,https://in.tradingview.com/symbols/NSE:NHPC/
NMDC.NS,89.3,-0.53,70.8,1.076,---,---,---,https://in.tradingview.com/symbols/NSE:NMDC/
PETRONET.NS,271.59,-0.6,50.7,2.98,---,---,---,https://in.tradingview.com/symbols/NSE:PETRONET/
PFC.NS,462.75,-0.45,70.2,6.091,---,---,---,https://in.tradingview.com/symbols/NSE:PFC/
PIDILITIND.NS,1392.4,-0.07,55.6,12.9,---,---,---,https://in.tradingview.com/symbols/NSE:PIDILITIND/
PNB.NS,114.32,-0.14,53.6,1.475,---,---,---,https://in.tradingview.com/symbols/NSE:PNB/
RAMCOCEM.NS,1013.0,0.19,55.4,14.092,---,Sell,---,https://in.tradingview.com/symbols/NSE:RAMCOCEM/
RBLBANK.NS,315.5,-0.02,53.9,1.252,---,---,---,https://in.tradingview.com/symbols/NSE:RBLBANK/
RECLTD.NS,374.75,0.39,68.0,5.903,---,---,---,https://in.tradingview.com/symbols/NSE:RECLTD/
SAIL.NS,172.7,-0.36,66.0,1.877,---,---,---,https://in.tradingview.com/symbols/NSE:SAIL/
SBILIFE.NS,1978.8,0.4,59.9,21.31,---,---,---,https://in.tradingview.com/symbols/NSE:SBILIFE/
SIEMENS.NS,3726.2,0.49,72.5,73.504,---,---,---,https://in.tradingview.com/symbols/NSE:SIEMENS/
TATACHEM.NS,708.0,-0.15,60.2,12.027,---,---,---,https://in.tradingview.com/symbols/NSE:TATACHEM/
TATACONSUM.NS,1123.0,0.88,62.0,10.934,---,---,---,https://in.tradingview.com/symbols/NSE:TATACONSUM/
UBL.NS,1518.6,1.67,47.9,-0.048,---,---,Buy,https://in.tradingview.com/symbols/NSE:UBL/
ICICIGI.NS,1875.3,-0.86,61.1,22.802,---,---,---,https://in.tradingview.com/symbols/NSE:ICICIGI/
GLENMARK.NS,2238.3,-0.5,60.2,9.369,---,---,---,https://in.tradingview.com/symbols/NSE:GLENMARK/
SUNTV.NS,651.2,1.24,66.6,5.889,---,---,---,https://in.tradingview.com/symbols/NSE:SUNTV/
PNBHOUSING.NS,920.0,-0.4,66.8,14.188,---,---,---,https://in.tradingview.com/symbols/NSE:PNBHOUSING/
ABCAPITAL.NS,342.8,0.71,58.0,4.381,---,---,---,https://in.tradingview.com/symbols/NSE:ABCAPITAL/
INDIAMART.NS,2182.6,0.54,63.1,21.157,---,---,---,https://in.tradingview.com/symbols/NSE:INDIAMART/
CUB.NS,266.03,3.18,57.9,2.924,---,Sell,---,https://in.tradingview.com/symbols/NSE:CUB/
DEEPAKNTR.NS,1522.6,-1.01,60.0,25.786,---,---,---,https://in.tradingview.com/symbols/NSE:DEEPAKNTR/
ABBOTINDIA.NS,25670.0,-0.45,42.1,-2.468,---,---,---,https://in.tradingview.com/symbols/NSE:ABBOTINDIA/
APOLLOTYRE.NS,441.65,-0.84,54.9,4.992,---,---,---,https://in.tradingview.com/symbols/NSE:APOLLOTYRE/
M&M.NS,3191.6,-0.27,50.7,29.988,---,---,---,https://in.tradingview.com/symbols/NSE:M&M/
ADANIENT.NS,2227.0,0.39,67.6,45.379,---,---,---,https://in.tradingview.com/symbols/NSE:ADANIENT/
VEDL.NS,778.5,-1.14,70.8,10.452,---,---,---,https://in.tradingview.com/symbols/NSE:VEDL/
EIEL.NS,208.2,-2.27,70.6,6.475,---,---,---,https://in.tradingview.com/symbols/NSE:EIEL/
LTF.NS,287.98,0.29,60.7,4.663,---,---,---,https://in.tradingview.com/symbols/NSE:LTF/
