symbol,current_price,fund_score,fund_max,tech_score,tech_max,final_score,recommendation,tradingview,fundamental_meta,technical_meta
KOTAKBANK.NS,374.55,2.0,5,1.5,5,0.36,Sell,https://in.tradingview.com/symbols/NSE:KOTAKBANK/,"{'pe': 19.80698, 'de_ratio': None, 'roe': None}","{'price': 374.54998779296875, 's50': 396.80799987792966, 's200': 414.060040435791, 'rsi': 47.77580992770467, 'macd_hist': 3.1111638032867717}"
SHREECEM.NS,24340.0,2.0,5,1.5,5,0.36,Sell,https://in.tradingview.com/symbols/NSE:SHREECEM/,"{'pe': 49.01921, 'de_ratio': 38.149, 'roe': None}","{'price': 24340.0, 's50': 25248.8, 's200': 27873.819345703127, 'rsi': 51.43878589495606, 'macd_hist': 213.13681017928275}"
CIPLA.NS,1229.5,2.0,5,1.5,5,0.36,Sell,https://in.tradingview.com/symbols/NSE:CIPLA/,"{'pe': 21.834488, 'de_ratio': 1.415, 'roe': None}","{'price': 1229.5, 's50': 1298.6260034179688, 's200': 1462.913829345703, 'rsi': 40.70458199734321, 'macd_hist': 2.275441110692963}"
M&M.NS,3259.8,2.0,5,1.5,5,0.36,Sell,https://in.tradingview.com/symbols/NSE:M&M/,"{'pe': 23.30926, 'de_ratio': 132.29, 'roe': None}","{'price': 3259.800048828125, 's50': 3305.794013671875, 's200': 3436.3266467285157, 'rsi': 54.84382960910651, 'macd_hist': 38.07062643442761}"
TECHM.NS,1440.2,2.0,5,1.5,5,0.36,Sell,https://in.tradingview.com/symbols/NSE:TECHM/,"{'pe': 27.621786, 'de_ratio': 6.992, 'roe': None}","{'price': 1440.199951171875, 's50': 1473.0920068359376, 's200': 1508.0809594726563, 'rsi': 53.16873423860814, 'macd_hist': 14.061765757926885}"
ULTRACEMCO.NS,11589.0,2.0,5,1.5,5,0.36,Sell,https://in.tradingview.com/symbols/NSE:ULTRACEMCO/,"{'pe': 44.595375, 'de_ratio': 33.192, 'roe': None}","{'price': 11589.0, 's50': 12011.76, 's200': 12093.515297851562, 'rsi': 53.29546138901556, 'macd_hist': 139.45001238873044}"
HINDUNILVR.NS,2155.3,2.0,5,1.5,5,0.36,Sell,https://in.tradingview.com/symbols/NSE:HINDUNILVR/,"{'pe': 49.99536, 'de_ratio': 3.611, 'roe': None}","{'price': 2155.300048828125, 's50': 2249.8339990234376, 's200': 2397.2975549316407, 'rsi': 49.80768458767211, 'macd_hist': 15.648851354391368}"
BHARTIARTL.NS,1870.0,2.0,5,1.5,5,0.36,Sell,https://in.tradingview.com/symbols/NSE:BHARTIARTL/,"{'pe': 36.767597, 'de_ratio': 117.095, 'roe': 0.23125}","{'price': 1870.0, 's50': 1906.8160107421875, 's200': 1973.2008013916015, 'rsi': 53.311995129256765, 'macd_hist': 13.006817751166786}"
DIVISLAB.NS,6116.5,2.0,5,1.5,5,0.36,Sell,https://in.tradingview.com/symbols/NSE:DIVISLAB/,"{'pe': 65.36119, 'de_ratio': 0.584, 'roe': None}","{'price': 6116.5, 's50': 6147.14, 's200': 6325.706059570312, 'rsi': 53.64418847452528, 'macd_hist': 8.449129512508819}"
MARUTI.NS,13709.0,2.0,5,1.5,5,0.36,Sell,https://in.tradingview.com/symbols/NSE:MARUTI/,"{'pe': 28.901821, 'de_ratio': 0.1, 'roe': None}","{'price': 13709.0, 's50': 14026.98, 's200': 14748.340073242187, 'rsi': 56.38952596245108, 'macd_hist': 218.7744862043403}"
ITC.NS,304.25,2.0,5,1.5,5,0.36,Sell,https://in.tradingview.com/symbols/NSE:ITC/,"{'pe': 18.723078, 'de_ratio': 0.507, 'roe': None}","{'price': 304.25, 's50': 309.71307495117185, 's200': 371.937307434082, 'rsi': 51.4724188232908, 'macd_hist': 1.974310073605813}"
INDUSINDBK.NS,830.9,1.0,5,2.5,5,0.32,Sell,https://in.tradingview.com/symbols/NSE:INDUSINDBK/,"{'pe': 17.352839, 'de_ratio': None, 'roe': None}","{'price': 830.9000244140625, 's50': 877.6470007324219, 's200': 832.0277508544922, 'rsi': 49.680855651148114, 'macd_hist': 6.807950157818784}"
BRITANNIA.NS,5557.5,1.5,5,1.5,5,0.3,Sell,https://in.tradingview.com/symbols/NSE:BRITANNIA/,"{'pe': 55.55278, 'de_ratio': 58.424, 'roe': None}","{'price': 5557.5, 's50': 5838.47, 's200': 5849.618850097656, 'rsi': 43.60780699818438, 'macd_hist': 5.638465521854329}"
UPL.NS,644.85,1.5,5,1.5,5,0.3,Sell,https://in.tradingview.com/symbols/NSE:UPL/,"{'pe': 30.765745, 'de_ratio': 79.613, 'roe': None}","{'price': 644.8499755859375, 's50': 664.2999963378907, 's200': 702.6421545410157, 'rsi': 54.1085136136329, 'macd_hist': 8.519104556955032}"
GRASIM.NS,2742.6,1.0,5,1.5,5,0.24,Sell,https://in.tradingview.com/symbols/NSE:GRASIM/,"{'pe': 41.14929, 'de_ratio': 126.634, 'roe': None}","{'price': 2742.60009765625, 's50': 2759.5219970703124, 's200': 2783.798524169922, 'rsi': 55.094317994545804, 'macd_hist': 24.358536039292197}"
BAJFINANCE.NS,924.55,1.0,5,1.5,5,0.24,Sell,https://in.tradingview.com/symbols/NSE:BAJFINANCE/,"{'pe': 31.94713, 'de_ratio': 310.294, 'roe': None}","{'price': 924.5499877929688, 's50': 930.2899963378907, 's200': 962.3879992675782, 'rsi': 56.22173030690824, 'macd_hist': 13.44499413057568}"
INDIGO.NS,4554.2,1.0,5,1.5,5,0.24,Sell,https://in.tradingview.com/symbols/NSE:INDIGO/,"{'pe': 54.9427, 'de_ratio': 866.462, 'roe': None}","{'price': 4554.2001953125, 's50': 4567.998012695312, 's200': 5335.49381225586, 'rsi': 55.17106226113434, 'macd_hist': 70.06971413016814}"
