Open,High,Low,Close,Adj Close,Volume,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9
314.0,317.70001220703125,310.5,315.8500061035156,315.47802734375,4262642,,,
316.0,324.8500061035156,306.1000061035156,312.0,311.6325378417969,6728954,,,
313.45001220703125,313.54998779296875,303.3500061035156,308.70001220703125,308.3364562988281,6204690,,,
309.95001220703125,319.5,304.6000061035156,306.04998779296875,305.6895446777344,8669802,,,
306.54998779296875,321.0,303.5,319.8999938964844,319.5232238769531,7834055,,,
319.8500061035156,323.6499938964844,315.0,319.04998779296875,318.6742248535156,2626423,,,
319.8999938964844,329.95001220703125,317.6499938964844,324.1499938964844,323.7682189941406,8507609,,,
324.25,337.3999938964844,323.04998779296875,334.0,333.60662841796875,10348753,,,
334.0,353.29998779296875,328.1000061035156,346.8999938964844,346.491455078125,9697561,,,
346.8999938964844,371.79998779296875,344.5,368.8999938964844,368.46551513671875,13221067,,,
370.0,383.29998779296875,364.54998779296875,368.04998779296875,367.61651611328125,32307268,,,
369.8999938964844,373.45001220703125,359.0,367.20001220703125,366.7675476074219,14865463,,,
365.70001220703125,393.8999938964844,363.3999938964844,392.5,392.0377502441406,13600071,,,
393.29998779296875,395.95001220703125,384.0,391.95001220703125,391.4884033203125,6503634,,,
393.1499938964844,406.5,390.0,405.29998779296875,404.8226623535156,10861005,,,
407.95001220703125,414.54998779296875,403.04998779296875,411.6000061035156,411.1152648925781,7447335,,,
412.8500061035156,427.6000061035156,405.20001220703125,415.8999938964844,415.4101867675781,11631210,,,
418.70001220703125,418.70001220703125,396.5,406.70001220703125,406.2210388183594,12989830,,,
397.0,422.25,394.04998779296875,418.1499938964844,417.65753173828125,13724391,,,
422.0,436.5,413.45001220703125,415.79998779296875,415.310302734375,11423278,,,
417.3999938964844,426.6000061035156,412.04998779296875,418.54998779296875,418.54998779296875,7496552,,,
418.54998779296875,430.5,413.45001220703125,424.29998779296875,424.29998779296875,8268477,,,
424.0,440.8999938964844,419.1000061035156,437.29998779296875,437.29998779296875,9232704,,,
440.8500061035156,440.8500061035156,392.54998779296875,395.8500061035156,395.8500061035156,13005744,,,
396.0,401.3500061035156,384.6000061035156,391.6499938964844,391.6499938964844,9920159,,,
392.0,401.5,387.1499938964844,389.1499938964844,389.1499938964844,9669689,26.368091165516603,,
390.0,397.75,383.79998779296875,384.75,384.75,10174709,23.225926167192483,,
386.8999938964844,390.8500061035156,371.25,381.6499938964844,381.6499938964844,11263433,20.25213912985248,,
384.0,391.1000061035156,375.29998779296875,376.3999938964844,376.3999938964844,11878098,17.272651973761526,,
377.5,379.8500061035156,366.3500061035156,371.75,371.75,13729898,14.370516917004863,,
373.70001220703125,380.5,365.0,368.6499938964844,368.6499938964844,9729109,11.685703870923476,,
368.6499938964844,382.1499938964844,366.0,380.3999938964844,380.3999938964844,7976054,10.386369388997423,,
372.79998779296875,383.8500061035156,368.1000061035156,381.54998779296875,381.54998779296875,10673208,9.341746508700794,,
379.54998779296875,394.5,373.29998779296875,383.95001220703125,383.95001220703125,17420641,8.608306068465424,-7.115188508247362,15.723494576712786
383.3500061035156,385.3999938964844,368.1000061035156,375.6000061035156,375.6000061035156,4718836,7.269475537875564,-6.763215231069777,14.032690768945342
377.8999938964844,390.0,370.6000061035156,384.29998779296875,384.29998779296875,5156971,6.831706846254463,-5.760787138152704,12.592493984407167
387.20001220703125,427.79998779296875,382.0,418.70001220703125,418.70001220703125,34244877,9.15503296025139,-2.7499688193246214,11.905001779576011
418.95001220703125,435.0,414.04998779296875,431.0,431.0,7640080,11.852167455155325,-0.04226745953654998,11.894434914691875
433.0,433.1499938964844,413.95001220703125,414.6000061035156,414.6000061035156,4482267,12.521977959931405,0.5020344361916234,12.019943523739782
414.6000061035156,445.79998779296875,414.6000061035156,442.45001220703125,442.45001220703125,8585869,15.125710574951711,2.484613640969542,12.641096933982169
449.3999938964844,475.70001220703125,442.45001220703125,458.54998779296875,458.54998779296875,13895740,18.277627792151236,4.509224686535253,13.768403105615983
458.0,465.75,441.8500061035156,450.54998779296875,450.54998779296875,10158628,19.900609910559353,4.905765443954696,14.994844466604658
453.6499938964844,485.0,419.25,427.54998779296875,427.54998779296875,23349016,19.110631685260216,3.292629774924446,15.81800191033577
427.54998779296875,455.1499938964844,425.25,454.04998779296875,454.04998779296875,10973162,20.387878013755085,3.6559008827354518,16.731977131019633
456.45001220703125,465.0,447.25,460.5,460.5,12415252,21.670759979789125,3.9510262790155934,17.71973370077353
461.45001220703125,474.3999938964844,453.75,468.6499938964844,468.6499938964844,11675763,23.079048668796986,4.287451974418762,18.791596694378224
471.95001220703125,506.29998779296875,465.54998779296875,503.45001220703125,503.45001220703125,16635264,26.695469487877574,6.3230982347994775,20.372371253078096
503.45001220703125,532.0,503.45001220703125,517.5999755859375,517.5999755859375,5727885,30.353397755413255,7.984821201868126,22.36857655354513
518.0,547.8499755859375,515.1500244140625,539.7000122070312,539.7000122070312,9724811,34.63635418829443,9.814222107799441,24.822132080494992
541.5,557.9000244140625,499.8500061035156,509.8999938964844,509.8999938964844,10175146,35.220021110214134,8.318311223775314,26.90170988643882
518.0,532.4500122070312,502.8500061035156,528.6500244140625,528.6500244140625,8412559,36.77167117739157,7.895969032762196,28.875702144629372
530.0,537.2000122070312,513.0999755859375,523.75,523.75,5724004,37.177415907221985,6.641371010074089,30.536044897147896
524.5,533.4000244140625,505.6000061035156,531.2000122070312,531.2000122070312,5943504,37.66593579004632,5.70391271431874,31.96202307572758
