SYMBOL,OPEN,HIGH,LOW,PREV. CLOSE,LTP,INDICATIVE CLOSE,CHANGE,% CHANGE,VOLUME (shares),VALUE (Crores),52W H,52W L,30 D %CHNG,365 D %CHNG
"ABREL","1,431.70","1,431.70","1,426.50","1,448.60","1,427.10","-","-21.5","-1.48","839","0.12","2,202.80","1,080.10","11.61","-32.73"
"CESC","165.00","165.00","164.50","165.10","164.52","-","-0.58","-0.35","6077","0.10","204.50","138.12","-2.5","-7.87"
"CHAMBLFERT","453.90","453.90","450.80","454.30","450.80","-","-3.5","-0.77","2124","0.10","580.70","399.75","-7.07","-17.99"
"ITI","283.00","284.10","283.00","284.50","283.20","-","-1.3","-0.46","2871","0.08","372.85","237.00","-9.43","-10.44"
"SIGNATURE","805.00","805.05","801.00","809.70","802.15","-","-7.55","-0.93","993","0.08","1,262.40","705.20","0.42","-35.66"
"CASTROLIND","184.00","184.45","184.00","184.45","184.01","-","-0.44","-0.24","3936","0.07","231.00","170.10","-1","-16.95"
"DEVYANI","111.40","111.71","111.23","112.00","111.23","-","-0.77","-0.69","6474","0.07","191.00","91.55","-4.91","-36.89"
"TENNIND","554.00","558.25","553.10","554.40","554.05","-","-0.35","-0.06","1212","0.07","657.00","438.05","-5.36","0"
"SARDAEN","498.25","498.35","496.00","499.50","497.60","-","-1.9","-0.38","1085","0.05","639.75","429.30","-4.95","12.36"
"CHOLAHLDNG","1,575.00","1,575.00","1,560.30","1,573.60","1,560.30","-","-13.3","-0.85","280","0.04","2,169.00","1,305.00","-1.41","-26.2"
"RAMCOCEM","920.00","921.15","915.80","919.80","915.85","-","-3.95","-0.43","407","0.04","1,214.50","838.30","3.45","-20.68"
