SYMBOL,OPEN,HIGH,LOW,PREV. CLOSE,LTP,INDICATIVE CLOSE,CHANGE,% CHANGE,VOLUME (shares),VALUE (Crores),52W H,52W L,30 D %CHNG,365 D %CHNG
"TITAN","4,638.10","4,642.00","4,625.40","4,638.10","4,633.60","-","-4.5","-0.1","8829","4.09","4,679.80","3,303.10","4.67","35.95"
"ADANIPORTS","1,836.10","1,840.70","1,831.40","1,837.40","1,835.20","-","-2.2","-0.12","21247","3.90","1,891.10","1,290.50","-0.18","26.95"
"BEL","408.55","409.40","407.25","409.45","408.70","-","-0.75","-0.18","94107","3.84","473.45","361.20","-4.38","3.41"
"HDFCLIFE","567.30","567.30","562.20","563.65","565.00","-","1.35","0.24","65154","3.68","815.00","543.00","-4.66","-23.7"
"CGPOWER","904.00","904.85","895.05","905.00","899.30","-","-5.7","-0.63","40813","3.67","980.90","525.50","-6.81","34.52"
"TRENT","2,840.00","2,854.20","2,837.00","2,842.40","2,846.00","-","3.6","0.13","12714","3.62","3,782.67","2,183.67","-11.32","-20.66"
"HAL","4,500.00","4,500.00","4,470.50","4,500.70","4,487.80","-","-12.9","-0.29","8045","3.61","4,978.00","3,479.10","1.65","-3.67"
"POWERGRID","284.70","284.70","283.35","283.55","284.40","-","0.85","0.3","126541","3.60","324.95","250.00","-2.62","-3.25"
"LODHA","1,188.60","1,193.10","1,182.50","1,188.75","1,189.50","-","0.75","0.06","30214","3.59","1,461.50","650.80","29.45","-17.75"
"LTM","4,075.60","4,148.00","4,069.20","4,075.60","4,130.00","-","54.4","1.33","8707","3.58","6,429.50","3,528.00","7.57","-19.54"
"ASIANPAINT","2,689.00","2,691.20","2,681.40","2,689.00","2,681.40","-","-7.6","-0.28","12843","3.45","2,985.70","2,115.00","-1.9","12.54"
"DRREDDY","1,213.30","1,219.40","1,209.60","1,211.20","1,217.50","-","6.3","0.52","27610","3.35","1,414.90","1,148.40","-4.21","-3.1"
"SUNPHARMA","1,942.00","1,947.90","1,935.00","1,932.60","1,945.20","-","12.6","0.65","16587","3.22","1,962.70","1,548.00","6.07","15.13"
"BANKBARODA","247.50","248.00","246.05","246.80","247.55","-","0.75","0.3","126601","3.13","325.50","230.81","-11.85","1.24"
"BPCL","311.00","313.20","311.00","315.55","312.85","-","-2.7","-0.86","98643","3.08","391.65","266.60","2.05","-8.91"
"EICHERMOT","7,569.00","7,581.00","7,547.00","7,563.50","7,556.50","-","-7","-0.09","3979","3.01","8,230.00","5,353.00","-0.81","34.15"
"ABB","7,495.50","7,495.50","7,436.00","7,506.00","7,469.00","-","-37","-0.49","3970","2.96","7,924.50","4,637.50","2.79","31.94"
"TORNTPHARM","4,750.00","4,810.00","4,735.10","4,763.00","4,809.90","-","46.9","0.98","6138","2.93","5,085.80","3,466.00","8.66","36.69"
"HINDUNILVR","2,153.80","2,153.80","2,137.00","2,143.80","2,139.50","-","-4.3","-0.2","13618","2.92","2,750.00","2,022.50","-2.63","-14.17"
"ENRIN","3,379.00","3,383.70","3,321.00","3,385.50","3,326.90","-","-58.6","-1.73","8652","2.90","3,968.00","2,115.00","-13.64","9"
"TMPV","335.50","336.00","333.75","335.60","335.50","-","-0.1","-0.03","85656","2.87","739.70","294.30","-6.73","-50.71"
"COALINDIA","428.15","430.65","428.15","427.65","430.20","-","2.55","0.6","63645","2.73","491.25","368.65","-4.37","11.09"
"SBILIFE","1,831.00","1,835.00","1,823.70","1,829.40","1,828.70","-","-0.7","-0.04","14507","2.66","2,132.00","1,700.40","1.51","2.18"
"TVSMOTOR","3,619.80","3,619.80","3,594.00","3,618.20","3,599.70","-","-18.5","-0.51","7309","2.63","3,970.00","2,728.70","4.1","25.79"
"CIPLA","1,425.70","1,433.00","1,419.50","1,418.70","1,433.00","-","14.3","1.01","18172","2.60","1,673.00","1,165.70","6.32","-3.04"
"HINDZINC","519.00","524.70","518.35","518.35","523.05","-","4.7","0.91","48153","2.51","733.00","413.50","-7.05","20.28"
"BAJAJFINSV","1,852.10","1,855.40","1,838.80","1,854.00","1,845.40","-","-8.6","-0.46","13157","2.43","2,195.00","1,597.00","4.4","-8.98"
"NTPC","343.00","343.15","341.10","341.85","342.65","-","0.8","0.23","70745","2.42","414.40","315.55","-6.4","0.09"
"DIVISLAB","7,260.00","7,281.00","7,237.50","7,247.50","7,271.50","-","24","0.33","3182","2.31","7,390.00","5,636.50","7.8","7.98"
"MAXHEALTH","1,090.60","1,097.00","1,088.60","1,089.90","1,096.40","-","6.5","0.6","20744","2.27","1,301.70","903.00","0.04","-9.91"
"GRASIM","3,135.00","3,135.10","3,085.00","3,109.70","3,095.10","-","-14.6","-0.47","7212","2.24","3,246.00","2,502.50","-1.68","13.49"
"RECLTD","353.00","354.85","352.00","355.10","354.25","-","-0.85","-0.24","61220","2.17","408.25","304.05","-0.51","-11.81"
"HYUNDAI","1,990.00","2,004.90","1,988.60","1,993.30","1,992.60","-","-0.7","-0.04","10256","2.05","2,890.00","1,658.00","0.74","-6.24"
"VBL","462.90","462.90","460.00","463.35","461.50","-","-1.85","-0.4","42444","1.96","555.80","381.00","-12.87","-4.85"
"BAJAJ-AUTO","10,443.00","10,443.00","10,401.50","10,443.00","10,417.50","-","-25.5","-0.24","1801","1.88","10,834.00","7,858.50","3.45","24.75"
"MUTHOOTFIN","2,995.00","3,008.90","2,980.10","2,989.50","3,006.60","-","17.1","0.57","6159","1.85","4,149.50","2,476.60","-3.89","12.95"
"CUMMINSIND","5,438.00","5,440.00","5,412.50","5,448.00","5,422.50","-","-25.5","-0.47","3382","1.83","6,100.00","3,481.50","-7.77","52.97"
"DLF","665.00","666.00","661.80","667.80","663.50","-","-4.3","-0.64","27579","1.83","856.45","489.40","5.8","-21.82"
"TATAPOWER","377.00","377.70","375.55","377.25","377.10","-","-0.15","-0.04","47977","1.81","464.90","342.50","-6.25","-7.53"
"MOTHERSON","144.00","144.04","143.16","144.17","143.58","-","-0.59","-0.41","123920","1.78","155.25","89.70","-1.61","41.82"
"CHOLAFIN","1,789.90","1,789.90","1,775.20","1,804.90","1,776.30","-","-28.6","-1.58","9918","1.77","1,875.00","1,299.40","4.62","13.97"
"MAZDOCK","2,335.00","2,341.30","2,325.00","2,342.80","2,335.10","-","-7.7","-0.33","6589","1.54","3,136.50","2,057.40","-7.62","-21.98"
"PIDILITIND","1,560.00","1,565.20","1,555.10","1,566.10","1,558.80","-","-7.3","-0.47","9539","1.49","1,626.70","1,259.00","-1.39","5.34"
"ZYDUSLIFE","1,140.70","1,150.00","1,140.70","1,143.70","1,149.50","-","5.8","0.51","11387","1.31","1,181.50","835.50","7.59","18.17"
"BRITANNIA","5,412.50","5,422.50","5,397.00","5,412.50","5,416.00","-","3.5","0.06","2374","1.29","6,336.00","5,035.00","3.98","-5.81"
"PFC","403.25","403.45","402.25","404.85","403.20","-","-1.65","-0.41","31141","1.25","486.50","329.90","-6.67","-4.33"
"INDHOTEL","726.00","726.55","720.45","727.90","721.40","-","-6.5","-0.89","17310","1.25","811.95","565.00","-0.89","-6.25"
"IRFC","88.38","88.39","87.86","88.41","88.09","-","-0.32","-0.36","138242","1.22","138.00","86.93","-11.82","-34.44"
"SIEMENS","3,651.00","3,664.60","3,629.50","3,658.80","3,662.90","-","4.1","0.11","3178","1.16","3,937.30","2,826.00","-3.16","16.38"
"NESTLEIND","1,436.00","1,436.00","1,420.60","1,427.20","1,427.20","-","0","0","8052","1.15","1,498.10","1,084.70","0.83","15.4"
"BOSCHLTD","40,800.00","40,800.00","40,520.00","40,855.00","40,650.00","-","-205","-0.5","279","1.13","42,565.00","28,610.00","1.02","6.16"
"JINDALSTEL","1,025.00","1,025.90","1,020.00","1,025.00","1,024.00","-","-1","-0.1","11049","1.13","1,306.20","929.85","-9.85","7.15"
"TATACONSUM","1,089.00","1,094.00","1,085.30","1,088.60","1,092.50","-","3.9","0.36","9913","1.08","1,282.70","1,007.20","-1.76","-0.36"
"GAIL","171.19","171.19","169.70","171.20","170.34","-","-0.86","-0.5","63484","1.08","188.89","134.36","-1.81","-7.82"
"UNITDSPR","1,367.00","1,374.00","1,363.50","1,375.80","1,370.70","-","-5.1","-0.37","7696","1.05","1,488.00","1,210.80","3.6","0.43"
"GODREJCP","1,068.30","1,069.50","1,061.40","1,071.90","1,062.60","-","-9.3","-0.87","9874","1.05","1,309.00","967.05","6.05","-15.2"
"AMBUJACEM","436.80","436.80","434.25","438.50","434.55","-","-3.95","-0.9","16221","0.71","624.95","394.00","2.25","-27.35"
"TATACAP","353.80","353.80","350.35","354.20","350.75","-","-3.45","-0.97","14818","0.52","379.95","296.00","-4.81","0"
"BAJAJHLDNG","10,369.00","10,446.00","10,369.00","10,398.00","10,428.00","-","30","0.29","350","0.36","14,763.00","8,588.00","-2.64","-24.94"
"SHREECEM","26,515.00","26,515.00","26,400.00","26,515.00","26,450.00","-","-65","-0.25","92","0.24","32,490.00","22,550.00","5.34","-14.21"
